"EventCode","EVENTDESCRIPTION","Month","Year","Actor1Code","Actor2Code","EventBaseCode","EventRootCode","QuadClass","NumMentions","Actor1Geo_Type","Actor1Geo_CountryCode","Actor2Geo_CountryCode","ActionGeo_Type","Region","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID"
"130.0","Threaten, not specified below","4.0","2018.0","SAU","YEM","130.0","13.0","3.0","4.0","4.0","SA","YM","4.0","Ash Sharqiyah","26.4","50.1","-3091069"
"130.0","Threaten, not specified below","8.0","2018.0","SAUMIL","SAU","130.0","13.0","3.0","2.0","4.0","SA","SA","4.0","Ash Sharqiyah","26.4","50.1","-3091069"
"130.0","Threaten, not specified below","7.0","2018.0","SAU","MIL","130.0","13.0","3.0","2.0","4.0","SA","DJ","4.0","Ash Sharqiyah","26.4","50.1","-3091069"
"130.0","Threaten, not specified below","7.0","2018.0","1","IRN","130.0","13.0","3.0","24.0","0.0","1","SA","4.0","Ash Sharqiyah","26.4","50.1","-3091069"
"130.0","Threaten, not specified below","7.0","2018.0","1","SAU","130.0","13.0","3.0","1.0","0.0","1","SA","4.0","Ash Sharqiyah","26.4","50.1","-3091069"
"130.0","Threaten, not specified below","7.0","2018.0","SAU","MIL","130.0","13.0","3.0","2.0","4.0","SA","YM","4.0","Ash Sharqiyah","26.4","50.1","-3091069"
"130.0","Threaten, not specified below","7.0","2018.0","SAU","MIL","130.0","13.0","3.0","5.0","4.0","SA","IR","4.0","Ash Sharqiyah","26.4","50.1","-3091069"
"130.0","Threaten, not specified below","7.0","2018.0","SAU","MIL","130.0","13.0","3.0","6.0","4.0","IR","IR","4.0","Ash Sharqiyah","26.4","50.1","-3091069"
"130.0","Threaten, not specified below","7.0","2018.0","SAU","MIL","130.0","13.0","3.0","154.0","4.0","SA","SA","4.0","Ash Sharqiyah","26.4","50.1","-3091069"
"130.0","Threaten, not specified below","7.0","2018.0","REB","MIL","130.0","13.0","3.0","6.0","4.0","SA","SA","4.0","Ash Sharqiyah","26.4","50.1","-3091069"
"130.0","Threaten, not specified below","7.0","2018.0","SAU","MIL","130.0","13.0","3.0","42.0","4.0","SA","SA","4.0","Ash Sharqiyah","26.4","50.1","-3091069"
"130.0","Threaten, not specified below","7.0","2018.0","MED","SAU","130.0","13.0","3.0","2.0","4.0","SA","SA","4.0","Ash Sharqiyah","26.4","50.1","-3091069"
"130.0","Threaten, not specified below","7.0","2018.0","SAU","SAUBUS","130.0","13.0","3.0","6.0","4.0","SA","SA","4.0","Ash Sharqiyah","26.4","50.1","-3091069"
"130.0","Threaten, not specified below","7.0","2018.0","SAUBUS","SAU","130.0","13.0","3.0","2.0","4.0","SA","SA","4.0","Ash Sharqiyah","26.4","50.1","-3091069"
"130.0","Threaten, not specified below","7.0","2018.0","MED","MIL","130.0","13.0","3.0","2.0","4.0","SA","SA","4.0","Ash Sharqiyah","26.4","50.1","-3091069"
"130.0","Threaten, not specified below","7.0","2018.0","IRN","MIL","130.0","13.0","3.0","10.0","4.0","SA","SA","4.0","Ash Sharqiyah","26.4","50.1","-3091069"
"130.0","Threaten, not specified below","7.0","2018.0","1","IRN","130.0","13.0","3.0","80.0","0.0","1","SA","4.0","Ash Sharqiyah","26.4","50.1","-3091069"
"130.0","Threaten, not specified below","7.0","2018.0","MED","SAU","130.0","13.0","3.0","2.0","4.0","SA","SA","4.0","Ash Sharqiyah","26.4","50.1","-3091069"
"130.0","Threaten, not specified below","7.0","2018.0","MED","MIL","130.0","13.0","3.0","16.0","4.0","SA","YM","4.0","Ash Sharqiyah","26.4","50.1","-3091069"
"130.0","Threaten, not specified below","4.0","2018.0","YEM","IRN","130.0","13.0","3.0","2.0","4.0","SA","SA","4.0","Ash Sharqiyah","26.3","50.1","-3093628"
"130.0","Threaten, not specified below","4.0","2018.0","SAU","YEM","130.0","13.0","3.0","2.0","1.0","WI","YM","4.0","Ash Sharqiyah","26.3","50.1","-3093628"
"130.0","Threaten, not specified below","4.0","2018.0","SAU","YEM","130.0","13.0","3.0","4.0","4.0","SA","YM","4.0","Ash Sharqiyah","26.3","50.1","-3093628"
"130.0","Threaten, not specified below","6.0","2018.0","1","IGOBUSOPC","130.0","13.0","3.0","10.0","0.0","1","SA","4.0","Ash Sharqiyah","26.3","50.1","-3093628"
"130.0","Threaten, not specified below","4.0","2018.0","1","SAU","130.0","13.0","3.0","30.0","0.0","1","SA","5.0","Ash Sharqiyah","22.5","51.0","-3093178"
"130.0","Threaten, not specified below","8.0","2018.0","IRN","SAU","130.0","13.0","3.0","16.0","1.0","IR","SA","5.0","Ash Sharqiyah","22.5","51.0","-3093178"
"130.0","Threaten, not specified below","8.0","2018.0","IRN","SAUGOV","130.0","13.0","3.0","10.0","1.0","IR","SA","5.0","Ash Sharqiyah","22.5","51.0","-3093178"
